--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  579): 128881 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  579): 128883 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  579): 128898 + Lcom/facebook/katana/UsersTabHostActivity; onCreate
V/DBox    (  579): 128918 + Lcom/facebook/katana/FriendsActivity; onCreate
V/DBox    (  579): 128938 - Lcom/facebook/katana/FriendsActivity; onCreate
V/DBox    (  579): 128947 - Lcom/facebook/katana/UsersTabHostActivity; onCreate
V/DBox    (  579): 128949 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  579): 128950 + Lcom/facebook/katana/FriendsActivity; onResume
V/DBox    (  579): 128954 - Lcom/facebook/katana/FriendsActivity; onResume
V/DBox    (  579): 128954 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  579): 132258 + Lcom/facebook/katana/FriendsActivity; onItemClick android.widget.ListView@440a2df0
V/DBox    (  579): 132268 - Lcom/facebook/katana/FriendsActivity; onItemClick
V/DBox    (  579): 132280 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  579): 132297 + Lcom/facebook/katana/FriendsActivity; onPause
V/DBox    (  579): 132298 - Lcom/facebook/katana/FriendsActivity; onPause
V/DBox    (  579): 132298 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  579): 132312 + Lcom/facebook/katana/ProfileTabHostActivity; onCreate
V/DBox    (  579): 132342 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  579): 132364 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  579): 132369 - Lcom/facebook/katana/ProfileTabHostActivity; onCreate
V/DBox    (  579): 132370 + Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  579): 132371 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  579): 132373 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  579): 132374 + Lcom/facebook/katana/FacebookListActivity; onResume
