--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  535): 272757 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 272770 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 273618 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@460b5ab8
V/DBox    (  535): 273646 - Lcom/example/cwac_test/MainActivity$1; onClick
V/DBox    (  535): 275750 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 275782 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 276797 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@460b5ab8
V/DBox    (  535): 276805 - Lcom/example/cwac_test/MainActivity$1; onClick
V/DBox    (  535): 278749 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 278761 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 281005 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@4601af38
V/DBox    (  535): 281037 - Lcom/example/cwac_test/MainActivity$1; onClick
V/DBox    (  535): 281776 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 281853 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 283626 + Landroid/support/v4/app/FragmentActivity; onSaveInstanceState
V/DBox    (  535): 283628 + Landroid/support/v7/internal/widget/ActionBarView; onSaveInstanceState
V/DBox    (  535): 283640 - Landroid/support/v7/internal/widget/ActionBarView; onSaveInstanceState
V/DBox    (  535): 283643 - Landroid/support/v4/app/FragmentActivity; onSaveInstanceState
V/DBox    (  535): 283645 + Landroid/support/v4/app/FragmentActivity; onPause
V/DBox    (  535): 283648 - Landroid/support/v4/app/FragmentActivity; onPause
V/DBox    (  535): 284123 + Landroid/support/v7/app/ActionBarActivity; onStop
V/DBox    (  535): 284124 + Landroid/support/v4/app/FragmentActivity; onStop
V/DBox    (  535): 284128 - Landroid/support/v4/app/FragmentActivity; onStop
V/DBox    (  535): 284134 + Landroid/support/v7/app/ActionBarActivityDelegateBase; onStop
V/DBox    (  535): 284136 - Landroid/support/v7/app/ActionBarActivityDelegateBase; onStop
V/DBox    (  535): 284137 - Landroid/support/v7/app/ActionBarActivity; onStop
V/DBox    (  535): 284758 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 284862 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 287755 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 287887 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 288052 + Landroid/support/v4/app/FragmentActivity; onStart
V/DBox    (  535): 288053 - Landroid/support/v4/app/FragmentActivity; onStart
V/DBox    (  535): 288053 + Landroid/support/v4/app/FragmentActivity; onResume
V/DBox    (  535): 288054 - Landroid/support/v4/app/FragmentActivity; onResume
V/DBox    (  535): 290776 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 290782 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 293685 + Landroid/support/v4/app/FragmentActivity; onSaveInstanceState
V/DBox    (  535): 293686 + Landroid/support/v7/internal/widget/ActionBarView; onSaveInstanceState
V/DBox    (  535): 293690 - Landroid/support/v7/internal/widget/ActionBarView; onSaveInstanceState
V/DBox    (  535): 293703 - Landroid/support/v4/app/FragmentActivity; onSaveInstanceState
V/DBox    (  535): 293704 + Landroid/support/v4/app/FragmentActivity; onPause
V/DBox    (  535): 293705 - Landroid/support/v4/app/FragmentActivity; onPause
V/DBox    (  535): 293926 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 293940 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 294155 + Landroid/support/v7/app/ActionBarActivity; onStop
V/DBox    (  535): 294156 + Landroid/support/v4/app/FragmentActivity; onStop
V/DBox    (  535): 294159 - Landroid/support/v4/app/FragmentActivity; onStop
V/DBox    (  535): 294160 + Landroid/support/v7/app/ActionBarActivityDelegateBase; onStop
V/DBox    (  535): 294167 - Landroid/support/v7/app/ActionBarActivityDelegateBase; onStop
V/DBox    (  535): 294168 - Landroid/support/v7/app/ActionBarActivity; onStop
V/DBox    (  535): 296756 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 296823 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 297360 + Landroid/support/v4/app/FragmentActivity; onStart
V/DBox    (  535): 297360 - Landroid/support/v4/app/FragmentActivity; onStart
V/DBox    (  535): 297360 + Landroid/support/v4/app/FragmentActivity; onResume
V/DBox    (  535): 297361 - Landroid/support/v4/app/FragmentActivity; onResume
V/DBox    (  535): 299530 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@460bbba0
V/DBox    (  535): 299562 - Lcom/example/cwac_test/MainActivity$1; onClick
V/DBox    (  535): 299817 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 299833 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 302762 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 302773 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 305643 + Landroid/support/v7/internal/view/menu/ListMenuPresenter; onItemClick android.support.v7.internal.view.menu.ExpandedMenuView@460d0680
V/DBox    (  535): 305645 + Lcom/example/cwac_test/MainActivity; onOptionsItemSelected Settings
V/DBox    (  535): 305646 - Lcom/example/cwac_test/MainActivity; onOptionsItemSelected
V/DBox    (  535): 305650 - Landroid/support/v7/internal/view/menu/ListMenuPresenter; onItemClick
V/DBox    (  535): 305712 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 305749 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 307368 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@460b5ab8
V/DBox    (  535): 307372 - Lcom/example/cwac_test/MainActivity$1; onClick
V/DBox    (  535): 308756 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 308777 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 311789 + Landroid/support/v4/app/FragmentActivity; onSaveInstanceState
V/DBox    (  535): 311790 + Landroid/support/v7/internal/widget/ActionBarView; onSaveInstanceState
V/DBox    (  535): 311790 - Landroid/support/v7/internal/widget/ActionBarView; onSaveInstanceState
V/DBox    (  535): 311790 - Landroid/support/v4/app/FragmentActivity; onSaveInstanceState
V/DBox    (  535): 311791 + Landroid/support/v4/app/FragmentActivity; onPause
V/DBox    (  535): 311791 - Landroid/support/v4/app/FragmentActivity; onPause
V/DBox    (  535): 311794 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 311828 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 312255 + Landroid/support/v7/app/ActionBarActivity; onStop
V/DBox    (  535): 312303 + Landroid/support/v4/app/FragmentActivity; onStop
V/DBox    (  535): 312309 - Landroid/support/v4/app/FragmentActivity; onStop
V/DBox    (  535): 312323 + Landroid/support/v7/app/ActionBarActivityDelegateBase; onStop
V/DBox    (  535): 312339 - Landroid/support/v7/app/ActionBarActivityDelegateBase; onStop
V/DBox    (  535): 312343 - Landroid/support/v7/app/ActionBarActivity; onStop
