--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  400): 976955 + Lcom/fsck/k9/activity/MessageList; onItemClick android.widget.ListView@464ff0b8
V/DBox    (  400): 976969 - Lcom/fsck/k9/activity/MessageList; onItemClick
V/DBox    (  400): 976970 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  400): 976975 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  400): 976976 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  400): 976977 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  400): 977095 + Lcom/fsck/k9/activity/MessageView; onCreate
V/DBox    (  400): 977095 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  400): 977097 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  400): 977157 - Lcom/fsck/k9/activity/MessageView; onCreate
V/DBox    (  400): 977161 + Lcom/fsck/k9/activity/MessageView; onResume
V/DBox    (  400): 977162 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): 977163 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): 977164 - Lcom/fsck/k9/activity/MessageView; onResume
V/DBox    (  400): Ljava/net/Socket;->connectV
V/DBox    (  400): Ljava/net/Socket;->closeV
V/DBox    (  400): 982600 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  400): 982600 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): 982604 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): 982640 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  400): 984081 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  400): 984085 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  400): 984106 + Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  400): 984108 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  400): 984110 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  400): 984135 - Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  400): 985511 + Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
V/DBox    (  400): 985512 - Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
V/DBox    (  400): 985513 + Lcom/fsck/k9/activity/FolderList; onPause
V/DBox    (  400): 985515 - Lcom/fsck/k9/activity/FolderList; onPause
V/DBox    (  400): Ljava/net/Socket;->connectV
V/DBox    (  400): Ljava/net/Socket;->connectV
V/DBox    (  400): Ljava/net/Socket;->connectV
V/DBox    (  400): Ljava/net/Socket;->connectV
V/DBox    (  400): Ljava/net/Socket;->connectV
V/DBox    (  400): Ljava/net/Socket;->connectV
V/DBox    (  400): Ljava/net/Socket;->connectV
V/DBox    (  400): Ljava/net/Socket;->connectV
V/DBox    (  400): Ljava/net/Socket;->connectV
V/DBox    (  400): Ljava/net/Socket;->connectV
V/DBox    (  400): Ljava/net/Socket;->closeV
V/DBox    (  400): Ljava/net/Socket;->closeV
V/DBox    (  400): Ljava/net/Socket;->closeV
V/DBox    (  400): Ljava/net/Socket;->closeV
V/DBox    (  400): Ljava/net/Socket;->closeV
V/DBox    (  400): Ljava/net/Socket;->closeV
V/DBox    (  400): Ljava/net/Socket;->closeV
V/DBox    (  400): Ljava/net/Socket;->closeV
V/DBox    (  400): Ljava/net/Socket;->closeV
V/DBox    (  400): Ljava/net/Socket;->closeV
