* daemon not running. starting it now on port 5037 *
* daemon started successfully *
--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  360): 2824675 - Lcom/fsck/k9/activity/FolderList; onPause
V/DBox    (  360): 2824693 + Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  360): 2824693 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  360): 2824695 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  360): 2824716 - Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  360): 2824717 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): 2824717 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 2824720 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 2824749 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): 2826407 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@4417da88
V/DBox    (  360): 2826418 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
V/DBox    (  360): 2827851 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Check mail
V/DBox    (  360): 2827853 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): 2833787 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Account settings
V/DBox    (  360): 2833810 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 2833811 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  360): 2833907 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  360): 2833908 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 2833909 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 2833921 + Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
V/DBox    (  360): 2833922 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
V/DBox    (  360): 2833927 - Lcom/fsck/k9/K9PreferenceActivity; onCreate
V/DBox    (  360): 2834011 - Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
V/DBox    (  360): 2834011 + Lcom/fsck/k9/activity/setup/AccountSettings; onResume
V/DBox    (  360): 2834016 - Lcom/fsck/k9/activity/setup/AccountSettings; onResume
V/DBox    (  360): 2835565 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  360): 2835566 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  360): 2835587 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): 2835588 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 2835592 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): 2835695 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
