* daemon not running. starting it now on port 5037 *
* daemon started successfully *
--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  360): 1160282 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Account settings
V/DBox    (  360): 1160297 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 1160336 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  360): 1160338 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  360): 1160341 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 1160342 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 1160360 + Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
V/DBox    (  360): 1160361 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
V/DBox    (  360): 1160367 - Lcom/fsck/k9/K9PreferenceActivity; onCreate
V/DBox    (  360): 1160524 - Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
V/DBox    (  360): 1160525 + Lcom/fsck/k9/activity/setup/AccountSettings; onResume
V/DBox    (  360): 1160534 - Lcom/fsck/k9/activity/setup/AccountSettings; onResume
V/DBox    (  360): 1164915 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  360): 1164916 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  360): 1164933 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): 1164933 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 1164935 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): 1165105 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): 1165406 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  360): 1165406 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): 1168751 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Compose
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): 1168888 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 1168889 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  360): 1168890 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  360): 1168891 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 1168891 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 1168907 + Lcom/fsck/k9/activity/MessageCompose; onCreate
V/DBox    (  360): 1168908 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  360): 1168912 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  360): 1169033 - Lcom/fsck/k9/activity/MessageCompose; onCreate
V/DBox    (  360): 1169034 + Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  360): 1169035 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 1169036 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 1169037 - Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): 1171029 + Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  360): 1171040 - Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  360): 1171059 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): 1171059 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 1171079 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 1171361 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): 1173641 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Sort by...
V/DBox    (  360): 1173642 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): 1176057 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Sender
V/DBox    (  360): 1176071 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): 1178168 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Batch Ops
V/DBox    (  360): 1178168 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): 1179393 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Select all
V/DBox    (  360): 1179395 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): 1180914 + Lcom/fsck/k9/activity/MessageList; onClick android.widget.Button@4419c8e8
V/DBox    (  360): 1180917 - Lcom/fsck/k9/activity/MessageList; onClick
V/DBox    (  360): 1182659 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Folder list
V/DBox    (  360): 1182692 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 1182710 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 1182712 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 1182742 + Lcom/fsck/k9/activity/FolderList; onCreate
V/DBox    (  360): 1182743 + Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  360): 1182745 - Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  360): 1182780 - Lcom/fsck/k9/activity/FolderList; onCreate
V/DBox    (  360): 1182781 + Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  360): 1182781 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  360): 1182784 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  360): 1182851 - Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  360): 1184978 + Lcom/fsck/k9/activity/FolderList$2; onItemClick android.widget.ListView@4411b290
V/DBox    (  360): 1185011 - Lcom/fsck/k9/activity/FolderList$2; onItemClick
V/DBox    (  360): 1185012 + Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
V/DBox    (  360): 1185014 - Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
V/DBox    (  360): 1185016 + Lcom/fsck/k9/activity/FolderList; onPause
V/DBox    (  360): 1185017 - Lcom/fsck/k9/activity/FolderList; onPause
V/DBox    (  360): 1185034 + Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  360): 1185035 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  360): 1185038 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  360): 1185058 - Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  360): 1185059 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): 1185059 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 1185062 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 1185089 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): 1186351 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@44020d18
V/DBox    (  360): 1186369 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
V/DBox    (  360): 1187408 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Check mail
