--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    ( 1010): 17708513 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    ( 1010): 17708513 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    ( 1010): 17708514 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    ( 1010): 17708522 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    ( 1010): 17708532 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17708537 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17708538 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17708547 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17708810 + Lcom/facebook/katana/MailboxThreadsActivity; onScroll android.widget.ListView@46167100
V/DBox    ( 1010): 17708811 - Lcom/facebook/katana/MailboxThreadsActivity; onScroll
V/DBox    ( 1010): 17708812 + Lcom/facebook/katana/MailboxTabHostActivity; onDestroy
V/DBox    ( 1010): 17708813 + Lcom/facebook/katana/MailboxThreadsActivity; onScroll android.widget.ListView@46167100
V/DBox    ( 1010): 17708813 - Lcom/facebook/katana/MailboxThreadsActivity; onScroll
V/DBox    ( 1010): 17708814 - Lcom/facebook/katana/MailboxTabHostActivity; onDestroy
V/DBox    ( 1010): 17710997 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@4616ef00
V/DBox    ( 1010): 17711007 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    ( 1010): 17711011 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    ( 1010): 17711013 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17711016 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17711018 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    ( 1010): 17711121 + Lcom/facebook/katana/ProfileTabHostActivity; onCreate
V/DBox    ( 1010): 17711193 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    ( 1010): 17711233 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    ( 1010): 17711249 - Lcom/facebook/katana/ProfileTabHostActivity; onCreate
V/DBox    ( 1010): 17711250 + Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    ( 1010): 17711250 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    ( 1010): 17711251 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    ( 1010): 17711251 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    ( 1010): 17711252 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    ( 1010): 17711257 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    ( 1010): 17711257 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    ( 1010): 17711258 - Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    ( 1010): 17714935 + Lcom/facebook/katana/ProfileTabHostActivity; onPause
V/DBox    ( 1010): 17714941 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    ( 1010): 17714943 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    ( 1010): 17714945 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17714946 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17714952 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    ( 1010): 17714954 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    ( 1010): 17714956 - Lcom/facebook/katana/ProfileTabHostActivity; onPause
V/DBox    ( 1010): 17714975 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    ( 1010): 17714976 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    ( 1010): 17714976 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    ( 1010): 17714985 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    ( 1010): 17714995 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17715001 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17715002 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17715012 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17715273 + Lcom/facebook/katana/StreamActivity; onStop
V/DBox    ( 1010): 17715274 - Lcom/facebook/katana/StreamActivity; onStop
V/DBox    ( 1010): 17715274 + Lcom/facebook/katana/ProfileTabHostActivity; onDestroy
V/DBox    ( 1010): 17715275 + Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    ( 1010): 17715275 - Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    ( 1010): 17715276 - Lcom/facebook/katana/ProfileTabHostActivity; onDestroy
V/DBox    ( 1010): 17717012 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@46176088
V/DBox    ( 1010): 17717023 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    ( 1010): 17717025 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    ( 1010): 17717025 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17717026 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17717026 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    ( 1010): 17717035 + Lcom/facebook/katana/MailboxTabHostActivity; onCreate
V/DBox    ( 1010): 17717071 + Lcom/facebook/katana/MailboxThreadsActivity; onCreate
V/DBox    ( 1010): 17717080 + Lcom/facebook/katana/MailboxThreadsActivity; onScroll android.widget.ListView@46167100
V/DBox    ( 1010): 17717081 - Lcom/facebook/katana/MailboxThreadsActivity; onScroll
V/DBox    ( 1010): 17717082 - Lcom/facebook/katana/MailboxThreadsActivity; onCreate
V/DBox    ( 1010): 17717087 - Lcom/facebook/katana/MailboxTabHostActivity; onCreate
V/DBox    ( 1010): 17717088 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    ( 1010): 17717088 + Lcom/facebook/katana/MailboxThreadsActivity; onResume
V/DBox    ( 1010): 17717089 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    ( 1010): 17717089 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    ( 1010): 17717093 - Lcom/facebook/katana/MailboxThreadsActivity; onResume
V/DBox    ( 1010): 17717094 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    ( 1010): 17717097 + Lcom/facebook/katana/MailboxThreadsActivity; onScroll android.widget.ListView@46167100
V/DBox    ( 1010): 17717098 - Lcom/facebook/katana/MailboxThreadsActivity; onScroll
V/DBox    ( 1010): 17717125 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17717156 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17718177 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    ( 1010): 17718179 + Lcom/facebook/katana/MailboxThreadsActivity; onPause
V/DBox    ( 1010): 17718183 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17718189 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17718191 - Lcom/facebook/katana/MailboxThreadsActivity; onPause
V/DBox    ( 1010): 17718195 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    ( 1010): 17718213 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    ( 1010): 17718214 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    ( 1010): 17718214 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    ( 1010): 17718223 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    ( 1010): 17718236 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17718250 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17718251 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17718272 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17718524 + Lcom/facebook/katana/MailboxThreadsActivity; onScroll android.widget.ListView@46167100
V/DBox    ( 1010): 17718530 - Lcom/facebook/katana/MailboxThreadsActivity; onScroll
V/DBox    ( 1010): 17718532 + Lcom/facebook/katana/MailboxTabHostActivity; onDestroy
V/DBox    ( 1010): 17718534 + Lcom/facebook/katana/MailboxThreadsActivity; onScroll android.widget.ListView@46167100
V/DBox    ( 1010): 17718535 - Lcom/facebook/katana/MailboxThreadsActivity; onScroll
V/DBox    ( 1010): 17718537 - Lcom/facebook/katana/MailboxTabHostActivity; onDestroy
V/DBox    ( 1010): 17718988 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@461744a0
V/DBox    ( 1010): 17719000 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    ( 1010): 17719006 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    ( 1010): 17719007 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17719008 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17719010 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    ( 1010): 17719028 + Lcom/facebook/katana/EventsActivity; onCreate
V/DBox    ( 1010): 17719043 - Lcom/facebook/katana/EventsActivity; onCreate
V/DBox    ( 1010): 17719044 + Lcom/facebook/katana/EventsActivity; onResume
V/DBox    ( 1010): 17719044 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    ( 1010): 17719045 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    ( 1010): 17719049 - Lcom/facebook/katana/EventsActivity; onResume
V/DBox    ( 1010): 17719053 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17719119 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17720044 + Lcom/facebook/katana/EventsActivity; onPause
V/DBox    ( 1010): 17720046 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17720047 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17720049 - Lcom/facebook/katana/EventsActivity; onPause
V/DBox    ( 1010): 17720078 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    ( 1010): 17720079 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    ( 1010): 17720079 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    ( 1010): 17720088 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    ( 1010): 17720098 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17720104 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17720106 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17720113 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17720819 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@46170ae8
V/DBox    ( 1010): 17720829 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    ( 1010): 17720833 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    ( 1010): 17720835 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17720836 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17720837 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    ( 1010): 17720850 + Lcom/facebook/katana/UsersTabHostActivity; onCreate
V/DBox    ( 1010): 17720882 + Lcom/facebook/katana/FriendsActivity; onCreate
