--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  584): 176708 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  584): 176716 - Lcom/facebook/katana/MyTabWidget$TabClickListener; onClick
V/DBox    (  584): 177670 + Lcom/facebook/katana/ProfileTabHostActivity; onPause
V/DBox    (  584): 177671 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  584): 177673 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  584): 177674 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  584): 177675 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  584): 177676 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  584): 177677 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  584): 177679 - Lcom/facebook/katana/ProfileTabHostActivity; onPause
V/DBox    (  584): 177702 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  584): 177703 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  584): 177703 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  584): 177713 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  584): 177723 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 177748 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 177750 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 177774 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 178007 + Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  584): 178008 - Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  584): 178012 + Lcom/facebook/katana/ProfileTabHostActivity; onDestroy
V/DBox    (  584): 178013 + Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  584): 178013 - Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  584): 178014 - Lcom/facebook/katana/ProfileTabHostActivity; onDestroy
V/DBox    (  584): 178987 + Lcom/facebook/katana/HomeActivity; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@44037ce8
V/DBox    (  584): 178995 - Lcom/facebook/katana/HomeActivity; onCreateOptionsMenu
V/DBox    (  584): 183340 + Lcom/facebook/katana/HomeActivity; onOptionsItemSelected Logout
V/DBox    (  584): 183403 - Lcom/facebook/katana/HomeActivity; onOptionsItemSelected
V/DBox    (  584): 184708 + Lcom/facebook/katana/HomeActivity$5; onClick android.app.AlertDialog@43f51968
V/DBox    (  584): 184761 - Lcom/facebook/katana/HomeActivity$5; onClick
V/DBox    (  584): 184765 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 184773 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 185895 + Lcom/facebook/katana/platform/FacebookAuthenticationService; onCreate
V/DBox    (  584): 185896 - Lcom/facebook/katana/platform/FacebookAuthenticationService; onCreate
V/DBox    (  584): 186019 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  584): 186029 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  584): 186039 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  584): 186040 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  584): 186041 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  584): 186041 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  584): 186055 + Lcom/facebook/katana/LoginActivity; onCreate
V/DBox    (  584): 186114 - Lcom/facebook/katana/LoginActivity; onCreate
