* daemon not running. starting it now on port 5037 *
* daemon started successfully *
--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  771): 5708737 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  771): 5708737 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  771): 5708738 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  771): 5708750 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  771): 5708837 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  771): 5708837 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  771): 5708838 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  771): 5708838 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  771): 5708845 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  771): 5709023 + Lcom/facebook/katana/StreamActivity; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@46211c10
V/DBox    (  771): 5709023 - Lcom/facebook/katana/StreamActivity; onCreateOptionsMenu
V/DBox    (  771): 5710441 + Lcom/facebook/katana/StreamActivity; onItemClick android.widget.ListView@460c0de0
V/DBox    (  771): 5710450 - Lcom/facebook/katana/StreamActivity; onItemClick
V/DBox    (  771): 5710459 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  771): 5710461 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  771): 5710463 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  771): 5710488 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  771): 5710517 + Lcom/facebook/katana/FeedbackActivity; onCreate
V/DBox    (  771): 5710606 - Lcom/facebook/katana/FeedbackActivity; onCreate
V/DBox    (  771): 5710606 + Lcom/facebook/katana/FeedbackActivity; onResume
V/DBox    (  771): 5710607 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  771): 5710607 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  771): 5710608 - Lcom/facebook/katana/FeedbackActivity; onResume
V/DBox    (  771): 5710978 + Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  771): 5710979 - Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  771): 5711431 + Lcom/facebook/katana/FeedbackActivity; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@462f93b8
V/DBox    (  771): 5711432 - Lcom/facebook/katana/FeedbackActivity; onCreateOptionsMenu
V/DBox    (  771): 5711750 + Lcom/facebook/katana/FeedbackActivity; onOptionsItemSelected Home
V/DBox    (  771): 5711755 - Lcom/facebook/katana/FeedbackActivity; onOptionsItemSelected
V/DBox    (  771): 5711779 + Lcom/facebook/katana/FeedbackActivity; onPause
V/DBox    (  771): 5711783 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  771): 5711783 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  771): 5711784 - Lcom/facebook/katana/FeedbackActivity; onPause
V/DBox    (  771): 5711804 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  771): 5711804 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  771): 5711806 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  771): 5711812 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  771): 5712277 + Lcom/facebook/katana/FeedbackActivity; onDestroy
V/DBox    (  771): 5712279 - Lcom/facebook/katana/FeedbackActivity; onDestroy
V/DBox    (  771): 5712398 + Lcom/facebook/katana/StreamAdapter$1; onClick android.widget.ImageView@4630c6e0
V/DBox    (  771): 5712404 - Lcom/facebook/katana/StreamAdapter$1; onClick
V/DBox    (  771): 5712416 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  771): 5712417 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  771): 5712418 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  771): 5712432 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  771): 5712446 + Lcom/facebook/katana/ProfileTabHostActivity; onCreate
V/DBox    (  771): 5712536 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  771): 5712582 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  771): 5712603 - Lcom/facebook/katana/ProfileTabHostActivity; onCreate
V/DBox    (  771): 5712604 + Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  771): 5712605 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  771): 5712605 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  771): 5712606 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  771): 5712606 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  771): 5712615 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  771): 5712616 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  771): 5712626 - Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  771): 5712664 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  771): 5712705 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  771): 5712983 + Lcom/facebook/katana/MyTabWidget; onFocusChange android.widget.LinearLayout@46243128
V/DBox    (  771): 5712984 - Lcom/facebook/katana/MyTabWidget; onFocusChange
V/DBox    (  771): 5713111 + Lcom/facebook/katana/ProfileTabHostActivity; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@462fc7d0
V/DBox    (  771): 5713112 - Lcom/facebook/katana/ProfileTabHostActivity; onCreateOptionsMenu
V/DBox    (  771): 5713118 + Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  771): 5713123 - Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  771): 5713132 + Lcom/facebook/katana/MyTabWidget; onFocusChange android.widget.LinearLayout@46243128
V/DBox    (  771): 5713133 - Lcom/facebook/katana/MyTabWidget; onFocusChange
V/DBox    (  771): 5713204 + Lcom/facebook/katana/StreamActivity$2; onClick android.widget.Button@46211cb0
V/DBox    (  771): 5713205 - Lcom/facebook/katana/StreamActivity$2; onClick
V/DBox    (  771): 5713450 + Lcom/facebook/katana/MyTabWidget; onFocusChange android.widget.LinearLayout@46243128
V/DBox    (  771): 5713451 - Lcom/facebook/katana/MyTabWidget; onFocusChange
V/DBox    (  771): 5713452 + Lcom/facebook/katana/MyTabWidget; onFocusChange android.widget.LinearLayout@46243128
V/DBox    (  771): 5713453 - Lcom/facebook/katana/MyTabWidget; onFocusChange
V/DBox    (  771): 5713520 + Lcom/facebook/katana/MyTabWidget; onFocusChange android.widget.LinearLayout@46243128
V/DBox    (  771): 5713521 - Lcom/facebook/katana/MyTabWidget; onFocusChange
V/DBox    (  771): 5713522 + Lcom/facebook/katana/MyTabWidget; onFocusChange android.widget.LinearLayout@46243128
V/DBox    (  771): 5713523 - Lcom/facebook/katana/MyTabWidget; onFocusChange
V/DBox    (  771): 5713537 + Lcom/facebook/katana/MyTabWidget; onFocusChange android.widget.LinearLayout@46243128
V/DBox    (  771): 5713537 - Lcom/facebook/katana/MyTabWidget; onFocusChange
V/DBox    (  771): 5713539 + Lcom/facebook/katana/MyTabWidget; onFocusChange android.widget.LinearLayout@46243128
V/DBox    (  771): 5713539 - Lcom/facebook/katana/MyTabWidget; onFocusChange
V/DBox    (  771): 5713606 + Lcom/facebook/katana/MyTabWidget; onFocusChange android.widget.LinearLayout@46243128
V/DBox    (  771): 5713607 - Lcom/facebook/katana/MyTabWidget; onFocusChange
V/DBox    (  771): 5713609 + Lcom/facebook/katana/MyTabWidget; onFocusChange android.widget.LinearLayout@46243128
V/DBox    (  771): 5713609 - Lcom/facebook/katana/MyTabWidget; onFocusChange
V/DBox    (  771): 5713654 + Lcom/facebook/katana/MyTabWidget; onFocusChange android.widget.LinearLayout@46243128
V/DBox    (  771): 5713655 - Lcom/facebook/katana/MyTabWidget; onFocusChange
