--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  564): 87262 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43f16690
V/DBox    (  564): 87274 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  564): 87276 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  564): 87278 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  564): 87279 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  564): 87281 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  564): 87289 + Lcom/facebook/katana/MailboxTabHostActivity; onCreate
V/DBox    (  564): 87319 + Lcom/facebook/katana/MailboxThreadsActivity; onCreate
V/DBox    (  564): 87329 + Lcom/facebook/katana/MailboxThreadsActivity; onScroll android.widget.ListView@43f82548
V/DBox    (  564): 87330 - Lcom/facebook/katana/MailboxThreadsActivity; onScroll
V/DBox    (  564): 87333 - Lcom/facebook/katana/MailboxThreadsActivity; onCreate
V/DBox    (  564): 87341 - Lcom/facebook/katana/MailboxTabHostActivity; onCreate
V/DBox    (  564): 87342 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  564): 87342 + Lcom/facebook/katana/MailboxThreadsActivity; onResume
V/DBox    (  564): 87343 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 87343 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 87349 - Lcom/facebook/katana/MailboxThreadsActivity; onResume
V/DBox    (  564): 87349 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  564): 87471 + Lcom/facebook/katana/MailboxThreadsActivity; onScroll android.widget.ListView@43f82548
V/DBox    (  564): 87471 - Lcom/facebook/katana/MailboxThreadsActivity; onScroll
V/DBox    (  564): 87506 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 87519 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 87550 + Lcom/facebook/katana/MailboxThreadsActivity; onScroll android.widget.ListView@43f82548
V/DBox    (  564): 87551 - Lcom/facebook/katana/MailboxThreadsActivity; onScroll
V/DBox    (  564): 87675 + Lcom/facebook/katana/MailboxThreadsActivity; onScroll android.widget.ListView@43f82548
V/DBox    (  564): 87677 - Lcom/facebook/katana/MailboxThreadsActivity; onScroll
V/DBox    (  564): 87787 + Lcom/facebook/katana/MailboxThreadsActivity; onScroll android.widget.ListView@43f82548
V/DBox    (  564): 87789 - Lcom/facebook/katana/MailboxThreadsActivity; onScroll
V/DBox    (  564): 87813 + Lcom/facebook/katana/MailboxThreadsActivity; onScroll android.widget.ListView@43f82548
V/DBox    (  564): 87815 - Lcom/facebook/katana/MailboxThreadsActivity; onScroll
V/DBox    (  564): 88332 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  564): 88335 + Lcom/facebook/katana/MailboxThreadsActivity; onPause
V/DBox    (  564): 88337 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  564): 88338 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  564): 88340 - Lcom/facebook/katana/MailboxThreadsActivity; onPause
V/DBox    (  564): 88347 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  564): 88385 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  564): 88385 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 88386 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 88395 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  564): 88452 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 88457 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 88458 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 88466 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 88732 + Lcom/facebook/katana/MailboxThreadsActivity; onScroll android.widget.ListView@43f82548
V/DBox    (  564): 88732 - Lcom/facebook/katana/MailboxThreadsActivity; onScroll
V/DBox    (  564): 88734 + Lcom/facebook/katana/MailboxTabHostActivity; onDestroy
V/DBox    (  564): 88737 + Lcom/facebook/katana/MailboxThreadsActivity; onScroll android.widget.ListView@43f82548
V/DBox    (  564): 88737 - Lcom/facebook/katana/MailboxThreadsActivity; onScroll
V/DBox    (  564): 88741 - Lcom/facebook/katana/MailboxTabHostActivity; onDestroy
V/DBox    (  564): 89244 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43f11940
V/DBox    (  564): 89249 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  564): 89252 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  564): 89253 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  564): 89254 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  564): 89255 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  564): 89272 + Lcom/facebook/katana/RequestsActivity; onCreate
V/DBox    (  564): 89306 - Lcom/facebook/katana/RequestsActivity; onCreate
V/DBox    (  564): 89306 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 89307 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 89311 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 89319 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 89653 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 89662 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 89700 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 89703 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 90376 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  564): 90377 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  564): 90404 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  564): 90406 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 90407 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 90415 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  564): 90472 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 90477 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 90478 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 90488 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 90760 + Lcom/facebook/katana/RequestsActivity; onDestroy
V/DBox    (  564): 90760 + Lcom/facebook/katana/RequestsAdapter; onDestroy
V/DBox    (  564): 90761 - Lcom/facebook/katana/RequestsAdapter; onDestroy
V/DBox    (  564): 90761 - Lcom/facebook/katana/RequestsActivity; onDestroy
V/DBox    (  564): 91263 + Lcom/facebook/katana/HomeActivity; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@441fa580
V/DBox    (  564): 91272 - Lcom/facebook/katana/HomeActivity; onCreateOptionsMenu
V/DBox    (  564): 95121 + Lcom/facebook/katana/HomeActivity; onPause
