--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  566): 805836 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 805853 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 805868 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 805869 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 805893 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 808102 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@440bc0d0
V/DBox    (  566): 808114 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  566): 808118 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 808119 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 808120 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 808122 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 808144 + Lcom/facebook/katana/EventsActivity; onCreate
V/DBox    (  566): 808170 - Lcom/facebook/katana/EventsActivity; onCreate
V/DBox    (  566): 808170 + Lcom/facebook/katana/EventsActivity; onResume
V/DBox    (  566): 808171 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 808171 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 808175 - Lcom/facebook/katana/EventsActivity; onResume
V/DBox    (  566): 808179 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 808197 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 809488 + Lcom/facebook/katana/EventsActivity; onPause
V/DBox    (  566): 809489 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 809491 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 809492 - Lcom/facebook/katana/EventsActivity; onPause
V/DBox    (  566): 809512 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 809514 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 809515 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 809529 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 809539 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 809546 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 809546 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 809559 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 810800 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43f6bf70
V/DBox    (  566): 810811 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  566): 810817 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 810818 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 810818 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 810819 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 810832 + Lcom/facebook/katana/MailboxTabHostActivity; onCreate
V/DBox    (  566): 810881 + Lcom/facebook/katana/MailboxThreadsActivity; onCreate
V/DBox    (  566): 810902 + Lcom/facebook/katana/MailboxThreadsActivity; onScroll android.widget.ListView@44036338
V/DBox    (  566): 810903 - Lcom/facebook/katana/MailboxThreadsActivity; onScroll
V/DBox    (  566): 810905 - Lcom/facebook/katana/MailboxThreadsActivity; onCreate
V/DBox    (  566): 810914 - Lcom/facebook/katana/MailboxTabHostActivity; onCreate
V/DBox    (  566): 810914 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  566): 810915 + Lcom/facebook/katana/MailboxThreadsActivity; onResume
V/DBox    (  566): 810915 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 810916 - Lcom/facebook/katana/FacebookListActivity; onResume
