--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  566): 133028 - Lcom/facebook/katana/SyncContactsSetupActivity; onClick
V/DBox    (  566): 133037 + Lcom/facebook/katana/FacebookActivity; onPause
V/DBox    (  566): 133038 - Lcom/facebook/katana/FacebookActivity; onPause
V/DBox    (  566): 133064 + Lcom/facebook/katana/HelpfulHintsActivity; onCreate
V/DBox    (  566): 133091 - Lcom/facebook/katana/HelpfulHintsActivity; onCreate
V/DBox    (  566): 133095 + Lcom/facebook/katana/FacebookActivity; onResume
V/DBox    (  566): 133096 - Lcom/facebook/katana/FacebookActivity; onResume
V/DBox    (  566): 134109 + Lcom/facebook/katana/HelpfulHintsActivity; onClick android.widget.Button@44041180
V/DBox    (  566): 134191 - Lcom/facebook/katana/HelpfulHintsActivity; onClick
V/DBox    (  566): 134237 + Lcom/facebook/katana/FacebookActivity; onPause
V/DBox    (  566): 134237 - Lcom/facebook/katana/FacebookActivity; onPause
V/DBox    (  566): 134281 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  566): 134306 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  566): 134306 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  566): 134307 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 134307 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 134339 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  566): 134382 + Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  566): 134382 - Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  566): 134383 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 134467 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 134907 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 134927 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 134976 + Lcom/facebook/katana/platform/FacebookSyncAdapterService; onCreate
V/DBox    (  566): 134976 - Lcom/facebook/katana/platform/FacebookSyncAdapterService; onCreate
V/DBox    (  566): 135966 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  566): 136011 + Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  566): 136011 - Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  566): 136012 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 136016 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 136228 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 136230 > Lcom/facebook/katana/binding/AppSession; acquireWakeLock
V/DBox    (  566): 136232 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 136233 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 136242 - Lcom/facebook/katana/service/FacebookService; onStart
