--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  566): 1131708 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  566): 1133614 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  566): 1133616 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1133617 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1133635 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  566): 1133653 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 1133654 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1133654 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1133662 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 1133669 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1133675 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1133677 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1133686 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1133893 + Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  566): 1133897 - Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  566): 1133898 + Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  566): 1133899 - Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  566): 1134523 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43fce810
V/DBox    (  566): 1134532 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  566): 1134535 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 1134536 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1134539 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1134541 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 1134550 + Lcom/facebook/katana/EventsActivity; onCreate
V/DBox    (  566): 1134562 - Lcom/facebook/katana/EventsActivity; onCreate
V/DBox    (  566): 1134562 + Lcom/facebook/katana/EventsActivity; onResume
V/DBox    (  566): 1134563 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1134563 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1134566 - Lcom/facebook/katana/EventsActivity; onResume
V/DBox    (  566): 1134569 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1134641 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1136073 + Lcom/facebook/katana/EventsActivity; onPause
V/DBox    (  566): 1136075 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1136077 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1136078 - Lcom/facebook/katana/EventsActivity; onPause
V/DBox    (  566): 1136114 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 1136115 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1136115 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1136122 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 1136129 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1136135 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1136135 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1136144 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1136947 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@440dad10
V/DBox    (  566): 1136956 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  566): 1136959 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 1136962 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1136964 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1136965 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 1136984 + Lcom/facebook/katana/MailboxTabHostActivity; onCreate
V/DBox    (  566): 1137007 + Lcom/facebook/katana/MailboxThreadsActivity; onCreate
V/DBox    (  566): 1137015 + Lcom/facebook/katana/MailboxThreadsActivity; onScroll android.widget.ListView@4412baf0
V/DBox    (  566): 1137016 - Lcom/facebook/katana/MailboxThreadsActivity; onScroll
V/DBox    (  566): 1137017 - Lcom/facebook/katana/MailboxThreadsActivity; onCreate
V/DBox    (  566): 1137022 - Lcom/facebook/katana/MailboxTabHostActivity; onCreate
V/DBox    (  566): 1137023 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  566): 1137023 + Lcom/facebook/katana/MailboxThreadsActivity; onResume
V/DBox    (  566): 1137024 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1137024 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1137027 - Lcom/facebook/katana/MailboxThreadsActivity; onResume
V/DBox    (  566): 1137028 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  566): 1137031 + Lcom/facebook/katana/MailboxThreadsActivity; onScroll android.widget.ListView@4412baf0
V/DBox    (  566): 1137032 - Lcom/facebook/katana/MailboxThreadsActivity; onScroll
V/DBox    (  566): 1137049 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1137058 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1138289 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  566): 1138289 + Lcom/facebook/katana/MailboxThreadsActivity; onPause
V/DBox    (  566): 1138290 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1138290 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1138291 - Lcom/facebook/katana/MailboxThreadsActivity; onPause
V/DBox    (  566): 1138291 - Lcom/facebook/katana/FacebookTabActivity; onPause
