--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  401): 984995 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 985021 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 985021 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 985053 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 985053 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 985077 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 985077 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 985101 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 985101 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 985127 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 985128 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 985157 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 985158 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 985184 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 985185 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 985213 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 985215 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 985242 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 985242 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 985270 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 985271 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 985298 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 985299 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 985325 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 985326 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 985354 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 985355 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 985381 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 985382 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 985410 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 985413 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 985473 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 985475 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 985478 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 985480 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 986658 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 986660 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 986670 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 986672 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 986713 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 986714 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 986726 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 986727 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 986752 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 986752 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 986782 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 986784 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 986808 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 986809 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 986837 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 986841 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 986866 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 986867 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 986893 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 986893 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 986946 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 986952 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 986991 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
