--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  985): 902540 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902541 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902542 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902544 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902545 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902546 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902549 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902550 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902552 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902554 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902555 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902555 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902556 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902558 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902559 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902560 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902561 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902561 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902563 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902564 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902565 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902566 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902567 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902568 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902569 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902569 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902570 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902571 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902572 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902573 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902573 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902574 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902575 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902576 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902577 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902578 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902579 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902580 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902581 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902582 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902582 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902583 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902584 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902585 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902586 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902586 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902587 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902588 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902589 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902590 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902591 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902591 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902592 + Lcom/facebook/katana/service/FacebookService; onStart
