Time (s),Main Avg Power (mW)
0.1550,1627.427
0.1552,1568.781
0.1554,1577.535
0.1556,1565.152
0.1558,1696.545
0.1560,1876.672
0.1562,1893.880
0.1564,2236.165
0.1566,1873.153
0.1568,1560.775
0.1570,1615.245
0.1572,1621.530
0.1574,1661.335
0.1576,1585.915
0.1578,1569.342
0.1580,1590.295
0.1582,1569.155
0.1584,1587.631
0.1586,1571.437
0.1588,1564.965
0.1590,1579.630
0.1592,1577.535
0.1594,1567.060
0.1596,1520.607
0.1598,1512.590
0.1600,1552.395
0.1602,1550.300
0.1604,1544.199
0.1606,1525.160
0.1608,1520.970
0.1610,1541.920
0.1612,1537.730
0.1614,1900.392
0.1616,1822.650
0.1618,1527.255
0.1620,1562.870
0.1622,1558.680
0.1624,1548.205
0.1626,1522.702
0.1628,1525.160
0.1630,1564.965
0.1632,1552.395
0.1634,1562.497
0.1636,1533.540
0.1638,1533.540
0.1640,1552.395
0.1642,1520.970
0.1644,1726.243
0.1646,1548.205
0.1648,1508.400
0.1650,1564.965
0.1652,1585.915
0.1654,1573.345
0.1656,1556.585
0.1658,1570.875
0.1660,1592.200
0.1662,1584.009
0.1664,1950.445
0.1666,1860.360
0.1668,1556.585
0.1670,1590.105
0.1672,1594.866
0.1674,1584.009
0.1676,1554.490
0.1678,1560.775
0.1680,1567.060
0.1682,1544.015
0.1684,1550.300
0.1686,1523.065
0.1688,1516.780
0.1690,1546.110
0.1692,1540.376
0.1694,1554.490
0.1696,1531.445
0.1698,1516.780
0.1700,1556.585
0.1702,1546.110
0.1704,1533.540
0.1706,1514.685
0.1708,1516.780
0.1710,1554.490
0.1712,1543.647
0.1714,1888.271
0.1716,1814.920
0.1718,1512.590
0.1720,1543.647
0.1722,1539.825
0.1724,1531.445
0.1726,1487.450
0.1728,1489.545
0.1730,1541.920
0.1732,1510.495
0.1734,1550.300
0.1736,1554.490
0.1738,1550.485
0.1740,1590.105
0.1742,1587.631
0.1744,1784.940
0.1746,1552.395
0.1748,1548.205
0.1750,1592.200
0.1752,1579.818
0.1754,1579.630
0.1756,1558.680
0.1758,1554.490
0.1760,1573.345
0.1762,1554.119
0.1764,1890.367
0.1766,1802.345
0.1768,1518.875
0.1770,1558.680
0.1772,1548.205
0.1774,1535.635
0.1776,1510.495
0.1778,1523.247
0.1780,1546.294
0.1782,1539.458
0.1784,1558.680
0.1786,1540.009
0.1788,1533.540
0.1790,1550.485
0.1792,1552.395
0.1794,1548.759
0.1796,1520.970
0.1798,1529.350
0.1800,1564.965
0.1802,1556.585
0.1804,1542.104
0.1806,1527.255
0.1808,1525.160
0.1810,1535.635
0.1812,1528.985
0.1814,1867.313
0.1816,1841.725
0.1818,1544.015
0.1820,1590.105
0.1822,1579.630
0.1824,1580.196
0.1826,1548.205
0.1828,1562.497
0.1830,1606.482
0.1832,1588.010
0.1834,1573.345
0.1836,1575.440
0.1838,1565.525
0.1840,1585.915
0.1842,1585.915
0.1844,1771.754
0.1846,1552.395
0.1848,1520.970
0.1850,1554.675
0.1852,1541.920
0.1854,1533.174
0.1856,1514.323
0.1858,1785.579
0.1860,1556.585
0.1862,1550.485
0.1864,1892.462
0.1866,1824.963
0.1868,1516.418
0.1870,1548.390
0.1872,1544.015
0.1874,1529.350
0.1876,1514.323
0.1878,1524.796
0.1880,1558.680
0.1882,1533.540
0.1884,1529.350
0.1886,1534.089
0.1888,1506.485
0.1890,1542.104
0.1892,1508.400
0.1894,1523.065
0.1896,1504.389
0.1898,1479.070
0.1900,1544.199
0.1902,1558.680
0.1904,1562.870
0.1906,1562.497
0.1908,1575.440
0.1910,1588.010
0.1912,1567.060
0.1914,1918.526
0.1916,1860.360
0.1918,1554.119
0.1920,1593.915
0.1922,1594.485
0.1924,1569.155
0.1926,1546.110
0.1928,1548.205
0.1930,1544.015
0.1932,1533.540
0.1934,1537.730
0.1936,1544.199
0.1938,1527.255
0.1940,1544.015
0.1942,1539.825
0.1944,1745.135
0.1946,1516.418
0.1948,1516.418
0.1950,1558.680
0.1952,1558.680
0.1954,1544.015
0.1956,1528.985
0.1958,1531.080
0.1960,1554.490
0.1962,1541.920
0.1964,1892.462
0.1966,1831.030
0.1968,1525.160
0.1970,1558.308
0.1972,1556.585
0.1974,1548.759
0.1976,1491.640
0.1978,1502.115
0.1980,1571.250
0.1982,1533.723
0.1984,1552.395
0.1986,1583.820
0.1988,1546.294
0.1990,1588.010
0.1992,1575.440
0.1994,1588.010
0.1996,1558.308
0.1998,1558.866
0.2000,1598.485
0.2002,1585.915
0.2004,1575.440
0.2006,1556.585
0.2008,1571.250
0.2010,1590.105
0.2012,1564.965
0.2014,1882.881
0.2016,1824.745
0.2018,1560.403
0.2020,1676.200
0.2022,1544.199
0.2024,1535.635
0.2026,1516.780
0.2028,1526.891
0.2030,1556.585
0.2032,1540.009
0.2034,1535.635
0.2036,1537.363
0.2038,1518.875
0.2040,1539.825
0.2042,1537.730
0.2044,1713.249
0.2046,1541.920
0.2048,1512.590
0.2050,1545.741
0.2052,1527.255
0.2054,1527.255
0.2056,1508.400
0.2058,1500.020
0.2060,1535.818
0.2062,1514.685
0.2064,1832.123
0.2066,1787.248
0.2068,1524.796
0.2070,1581.725
0.2072,1585.915
0.2074,1583.820
0.2076,1552.395
0.2078,1560.961
0.2080,1586.483
0.2082,1564.965
0.2084,1572.970
0.2086,1726.280
0.2088,2331.735
0.2090,2290.470
0.2092,1621.530
0.2094,1567.060
0.2096,1516.961
0.2098,1514.685
0.2100,1548.205
0.2102,1550.855
0.2104,1539.825
0.2106,1518.875
0.2108,1518.875
0.2110,1544.015
0.2112,1535.635
0.2114,1873.068
0.2116,1890.367
0.2118,1529.350
0.2120,1556.585
0.2122,1556.771
0.2124,1546.294
0.2126,1520.970
0.2128,1525.160
0.2130,1562.870
0.2132,1548.390
0.2134,1548.205
0.2136,1533.540
0.2138,1540.009
0.2140,1552.395
0.2142,1518.875
0.2144,1768.391
0.2146,1512.590
0.2148,1505.946
0.2150,1560.775
0.2152,1583.820
0.2154,1569.155
0.2156,1550.300
0.2158,1567.060
0.2160,1588.010
0.2162,1575.440
0.2164,1911.780
0.2166,1887.595
0.2168,1554.490
0.2170,1585.915
0.2172,1588.199
0.2174,1583.820
