--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    ( 3704): 17976860 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976888 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976889 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976915 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976915 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976944 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976944 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976972 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976973 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17977000 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17977001 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17977029 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17977030 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17977045 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17977046 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17983582 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17983583 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17983629 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17983629 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17983638 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17983638 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17983666 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17983667 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17983696 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17983697 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17983744 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17983745 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17983763 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17983763 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17983897 + Lcom/fsck/k9/activity/MessageList; onItemClick android.widget.ListView@440e82e0
V/DBox    ( 3704): 17983950 - Lcom/fsck/k9/activity/MessageList; onItemClick
V/DBox    ( 3704): 17983951 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    ( 3704): 17983955 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    ( 3704): 17983955 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    ( 3704): 17983956 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    ( 3704): 17983965 + Lcom/fsck/k9/activity/MessageView; onCreate
V/DBox    ( 3704): 17983965 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    ( 3704): 17983967 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    ( 3704): 17984023 - Lcom/fsck/k9/activity/MessageView; onCreate
V/DBox    ( 3704): 17984023 + Lcom/fsck/k9/activity/MessageView; onResume
V/DBox    ( 3704): 17984024 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    ( 3704): 17984026 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    ( 3704): 17984027 - Lcom/fsck/k9/activity/MessageView; onResume
V/DBox    ( 3704): Ljava/net/Socket;->connectV
V/DBox    ( 3704): 17990093 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@43fc1fc0
V/DBox    ( 3704): 17990106 - Lcom/fsck/k9/activity/MessageView; onClick
V/DBox    ( 3704): 17997750 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@440b89b0
V/DBox    ( 3704): 17997757 - Lcom/fsck/k9/activity/MessageView; onClick
V/DBox    ( 3704): 18005039 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    ( 3704): 18005039 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    ( 3704): 18005042 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    ( 3704): 18005107 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    ( 3704): 18011479 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@44030018
V/DBox    ( 3704): 18011508 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
V/DBox    ( 3704): 18024756 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Accounts
V/DBox    ( 3704): 18024773 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    ( 3704): 18024821 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    ( 3704): 18024821 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    ( 3704): 18024838 + Lcom/fsck/k9/activity/Accounts; onCreate
V/DBox    ( 3704): 18024839 + Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    ( 3704): 18024844 - Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    ( 3704): 18024887 - Lcom/fsck/k9/activity/Accounts; onCreate
V/DBox    ( 3704): 18024887 + Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    ( 3704): 18024888 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    ( 3704): 18024890 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    ( 3704): 18024910 - Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    ( 3704): 18035432 + Lcom/fsck/k9/activity/Accounts; onPause
V/DBox    ( 3704): 18035435 - Lcom/fsck/k9/activity/Accounts; onPause
V/DBox    ( 3704): 18035471 + Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    ( 3704): 18035472 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    ( 3704): 18035475 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    ( 3704): 18035489 - Lcom/fsck/k9/activity/FolderList; onResume
