--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  561): 63359 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 63361 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 63362 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 63921 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 63922 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 63923 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 63923 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 64478 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 64479 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 66842 + Lcom/facebook/katana/AlbumsActivity; onPause
V/DBox    (  561): 66843 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  561): 66843 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  561): 66844 - Lcom/facebook/katana/AlbumsActivity; onPause
V/DBox    (  561): 66861 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  561): 66863 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  561): 66864 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  561): 66884 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  561): 66973 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 66981 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 66982 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 66993 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 68032 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43f33628
V/DBox    (  561): 68044 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  561): 68048 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  561): 68049 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  561): 68051 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  561): 68051 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  561): 68060 + Lcom/facebook/katana/EventsActivity; onCreate
V/DBox    (  561): 68075 - Lcom/facebook/katana/EventsActivity; onCreate
V/DBox    (  561): 68076 + Lcom/facebook/katana/EventsActivity; onResume
V/DBox    (  561): 68076 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  561): 68077 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  561): 68082 - Lcom/facebook/katana/EventsActivity; onResume
V/DBox    (  561): 68086 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 68109 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 72433 + Lcom/facebook/katana/EventsActivity; onPause
V/DBox    (  561): 72434 + Lcom/facebook/katana/FacebookListActivity; onPause
